id,device_id,ts,voltage,humidity,temperature,latitude,longitude
78,device1,2025-11-11 17:45:06.09041+05:30,0.33,40.94,27.35,0,0
79,device2,2025-11-11 17:45:14.012851+05:30,0.49,35.22,30.96,0,0
80,device1,2025-11-11 17:45:20.899672+05:30,0.32,40.95,27.34,0,0
81,device2,2025-11-11 17:45:30.394157+05:30,0.49,35.27,30.97,0,0
82,device1,2025-11-11 17:45:36.200606+05:30,0.33,40.93,27.38,0,0
83,device2,2025-11-11 17:45:44.200058+05:30,0.49,35.20,30.96,0,0
84,device1,2025-11-11 17:45:50.909702+05:30,0.33,40.88,27.36,0,0
85,device2,2025-11-11 17:45:58.930521+05:30,0.49,35.19,30.95,0,0
86,device1,2025-11-11 17:46:05.996615+05:30,0.33,40.97,27.37,0,0
87,device2,2025-11-11 17:46:14.085811+05:30,0.49,35.20,30.95,0,0
88,device1,2025-11-11 17:46:20.92859+05:30,0.33,40.85,27.37,0,0
89,device2,2025-11-11 17:46:29.192716+05:30,0.49,35.21,30.95,0,0
90,device1,2025-11-11 17:46:36.022341+05:30,0.33,40.79,27.37,0,0
91,device2,2025-11-11 17:46:44.296275+05:30,0.49,35.13,30.95,0,0
92,device1,2025-11-11 17:46:50.916975+05:30,0.33,40.91,27.37,0,0
93,device2,2025-11-11 17:46:59.445531+05:30,0.49,35.15,30.93,0,0
94,device1,2025-11-11 17:47:06.052401+05:30,0.32,40.95,27.31,0,0
95,device2,2025-11-11 17:47:14.253426+05:30,0.49,35.12,30.92,0,0
96,device1,2025-11-11 17:47:20.809219+05:30,0.33,41.04,27.25,0,0
97,device2,2025-11-11 17:47:29.118568+05:30,0.49,35.27,30.91,0,0
98,device1,2025-11-11 17:47:35.913487+05:30,0.30,41.16,27.23,0,0
99,device2,2025-11-11 17:47:44.297777+05:30,0.49,35.19,30.91,0,0
100,device1,2025-11-11 17:47:51.063175+05:30,0.33,41.11,27.20,0,0
101,device2,2025-11-11 17:47:59.42969+05:30,0.49,35.20,30.90,0,0
102,device1,2025-11-11 17:48:05.851756+05:30,0.32,41.12,27.21,0,0
103,device2,2025-11-11 17:48:14.35414+05:30,0.49,35.13,30.89,0,0
104,device1,2025-11-11 17:48:21.012479+05:30,0.32,41.09,27.20,0,0
105,device2,2025-11-11 17:48:29.146689+05:30,0.49,35.20,30.89,0,0
106,device1,2025-11-11 17:48:35.96585+05:30,0.31,41.08,27.17,0,0
107,device2,2025-11-11 17:48:44.160197+05:30,0.49,35.25,30.87,0,0
108,device1,2025-11-11 17:48:51.450341+05:30,0.32,41.20,27.20,0,0
109,device2,2025-11-11 17:48:59.271188+05:30,0.49,35.23,30.87,0,0
110,device1,2025-11-11 17:49:06.221773+05:30,0.33,40.99,27.20,0,0
111,device2,2025-11-11 17:49:14.204757+05:30,0.49,35.11,30.84,0,0
112,device1,2025-11-11 17:49:21.108471+05:30,0.30,40.95,27.19,0,0
113,device2,2025-11-11 17:49:29.21074+05:30,0.49,35.17,30.84,0,0
114,device1,2025-11-11 17:49:35.879084+05:30,0.33,40.94,27.21,0,0
115,device2,2025-11-11 17:49:44.368777+05:30,0.49,35.23,30.84,0,0
116,device1,2025-11-11 17:49:50.905021+05:30,0.33,40.88,27.23,0,0
117,device2,2025-11-11 17:49:59.158451+05:30,0.49,35.26,30.85,0,0
118,device1,2025-11-11 17:50:05.866733+05:30,0.33,40.86,27.25,0,0
119,device2,2025-11-11 17:50:14.157103+05:30,0.49,35.16,30.85,0,0
120,device1,2025-11-11 17:50:20.872607+05:30,0.33,40.88,27.28,0,0
